date,slot,time_interval,issue_hour,issue_datetime,target_end,price_yuan_per_kwh,load_actual_kw,pv_actual_kw,load_forecast_kw,pv_forecast_kw,buffer_kw,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-01,0,00:00-00:10,0,2025-01-01 00:00:00,2025-01-01 00:10:00,0.4248000000,3529.7296000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,588.2882666667,0.0000000000,0.0000000000,6000.0000000000,5346.3463703704,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-01,1,00:10-00:20,0,2025-01-01 00:00:00,2025-01-01 00:20:00,0.4245000000,3609.5287000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,601.5881166667,0.0000000000,0.0000000000,5346.3463703704,4677.9151296296,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-01,2,00:20-00:30,0,2025-01-01 00:00:00,2025-01-01 00:30:00,0.4269000000,3726.5600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,621.0933333333,0.0000000000,0.0000000000,4677.9151296296,3987.8114259259,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-01,3,00:30-00:40,0,2025-01-01 00:00:00,2025-01-01 00:40:00,0.4272000000,3510.6311000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,585.1051833333,0.0000000000,0.0000000000,3987.8114259259,3337.6945555556,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-01,4,00:40-00:50,0,2025-01-01 00:00:00,2025-01-01 00:50:00,0.4271000000,3502.5625000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,583.7604166667,0.0000000000,0.0000000000,3337.6945555556,2689.0718703704,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-01,5,00:50-01:00,0,2025-01-01 00:00:00,2025-01-01 01:00:00,0.4285000000,3787.0100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,631.1683333333,0.0000000000,0.0000000000,2689.0718703704,1987.7737222222,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-01,6,01:00-01:10,0,2025-01-01 00:00:00,2025-01-01 01:10:00,0.4311000000,3900.3205000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,650.0534166667,0.0000000000,0.0000000000,1987.7737222222,1265.4921481481,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-01-01,7,01:10-01:20,0,2025-01-01 00:00:00,2025-01-01 01:20:00,0.4302000000,3916.8376000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,58.9429333333,593.8633333333,0.0000000000,1265.4921481481,1200.0000000000,0.0000000000,0.0000000000,1277.4000300000,1277.4000300000
2025-01-01,8,01:20-01:30,0,2025-01-01 00:00:00,2025-01-01 01:30:00,0.4279000000,3817.2800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,636.2133333333,0.0000000000,1200.0000000000,1200.0000000000,0.0000000000,0.0000000000,1361.1784266667,1361.1784266667
2025-01-01,9,01:30-01:40,0,2025-01-01 00:00:00,2025-01-01 01:40:00,0.4312000000,3533.0136000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,588.8356000000,0.0000000000,1200.0000000000,1200.0000000000,0.0000000000,0.0000000000,1269.5295536000,1269.5295536000
