date,slot,time_end,price_fixed_yuan_per_kwh,price_volatile_yuan_per_kwh,load_actual_kw,pv_actual_kw,pv_forecast_q1_kw,pv_forecast_q3_latest_kw,issue_datetime,weekday,month,holiday_name,is_holiday,is_makeup_workday,is_weekend,is_workday,day_type,load_actual_kw_original,load_actual_kw_was_missing,load_actual_kw_was_outlier,load_actual_kw_was_repaired,pv_actual_kw_original,pv_actual_kw_was_missing,pv_actual_kw_was_outlier,pv_actual_kw_was_repaired,load_actual_kw_z,pv_actual_kw_z
2025-01-01,0,00:10,0.4248,0.4527,3529.7296,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3529.7296,False,False,False,0.0,False,False,False,-0.8249947306166611,-0.8118383983925892
2025-01-01,1,00:20,0.4245,0.4733,3609.5287,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3609.5287,False,False,False,0.0,False,False,False,-0.7684535966361162,-0.8118383983925892
2025-01-01,2,00:30,0.4269,0.4843,3726.56,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3726.56,False,False,False,0.0,False,False,False,-0.6855318291823811,-0.8118383983925892
2025-01-01,3,00:40,0.4272,0.4541,3510.6311,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3510.6311,False,False,False,0.0,False,False,False,-0.838526848739891,-0.8118383983925892
2025-01-01,4,00:50,0.4271,0.4266,3502.5625,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3502.5625,False,False,False,0.0,False,False,False,-0.8442438028613715,-0.8118383983925892
2025-01-01,5,01:00,0.4285,0.4311,3787.01,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3787.01,False,False,False,0.0,False,False,False,-0.6427003743273269,-0.8118383983925892
2025-01-01,6,01:10,0.4311,0.4544,3900.3205,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3900.3205,False,False,False,0.0,False,False,False,-0.5624149555456298,-0.8118383983925892
2025-01-01,7,01:20,0.4302,0.4483,3916.8376,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3916.8376,False,False,False,0.0,False,False,False,-0.5507118716252589,-0.8118383983925892
2025-01-01,8,01:30,0.4279,0.4251,3817.28,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3817.28,False,False,False,0.0,False,False,False,-0.6212527624420913,-0.8118383983925892
2025-01-01,9,01:40,0.4312,0.444,3533.0136,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3533.0136,False,False,False,0.0,False,False,False,-0.8226678737474468,-0.8118383983925892
2025-01-01,10,01:50,0.4333,0.478,3694.6613,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3694.6613,False,False,False,0.0,False,False,False,-0.7081334458736118,-0.8118383983925892
2025-01-01,11,02:00,0.4311,0.4941,4064.73,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,4064.73,False,False,False,0.0,False,False,False,-0.44592367222069973,-0.8118383983925892
2025-01-01,12,02:10,0.4293,0.484,3810.671,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3810.671,False,False,False,0.0,False,False,False,-0.6259355264642099,-0.8118383983925892
2025-01-01,13,02:20,0.4324,0.4751,3844.9495,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3844.9495,False,False,False,0.0,False,False,False,-0.6016477179406535,-0.8118383983925892
2025-01-01,14,02:30,0.4367,0.488,4234.62,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,4234.62,False,False,False,0.0,False,False,False,-0.3255492162186298,-0.8118383983925892
2025-01-01,15,02:40,0.4348,0.5215,4109.9755,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,4109.9755,False,False,False,0.0,False,False,False,-0.41386526708183574,-0.8118383983925892
2025-01-01,16,02:50,0.4335,0.5498,3996.8945,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3996.8945,False,False,False,0.0,False,False,False,-0.4939880751292196,-0.8118383983925892
2025-01-01,17,03:00,0.4357,0.5471,4102.19,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,4102.19,False,False,False,0.0,False,False,False,-0.41938163253715455,-0.8118383983925892
2025-01-01,18,03:10,0.4374,0.5067,4086.0577,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,4086.0577,False,False,False,0.0,False,False,False,-0.43081206891694246,-0.8118383983925892
2025-01-01,19,03:20,0.4371,0.4769,4133.7626,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,4133.7626,False,False,False,0.0,False,False,False,-0.397011071882784,-0.8118383983925892
2025-01-01,20,03:30,0.4356,0.4669,4179.18,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,4179.18,False,False,False,0.0,False,False,False,-0.3648308681154731,-0.8118383983925892
2025-01-01,21,03:40,0.4353,0.4501,3953.3711,0.0,0.0,0.0,2025-01-01,2,1,元旦,True,False,False,False,holiday,3953.3711,False,False,False,0.0,False,False,False,-0.5248262974987558,-0.8118383983925892
