date,slot,time_end,price_yuan_per_kwh,load_actual_kw,pv_actual_kw,net_forecast_kw,net_median_forecast_kw,plan_kw,planned_charge_kw,planned_discharge_kw,planned_soc_start_kwh,planned_soc_end_kwh,charge_kw,discharge_kw,emergency_kw,surplus_kw,soc_start_kwh,soc_end_kwh,baseline_without_storage_cost_yuan,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-01-01,0,00:10,0.4248,3529.7296,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3529.7296,0.0,6000.0,6000.0,1249.5242784,0.0,0.0,0.0,588.2882666666667,0.0,1249.5242784000002,1249.5242784000002
2025-01-01,1,00:20,0.4245,3609.5287,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3609.5287,0.0,6000.0,6000.0,1276.8707776249998,0.0,0.0,0.0,601.5881166666666,0.0,1276.8707776249998,1276.8707776249998
2025-01-01,2,00:30,0.4269,3726.56,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3726.56,0.0,6000.0,6000.0,1325.72372,0.0,0.0,0.0,621.0933333333332,0.0,1325.7237199999997,1325.7237199999997
2025-01-01,3,00:40,0.4272,3510.6311,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3510.6311,0.0,6000.0,6000.0,1249.7846716,0.0,0.0,0.0,585.1051833333333,0.0,1249.7846716000001,1249.7846716000001
2025-01-01,4,00:50,0.4271,3502.5625,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3502.5625,0.0,6000.0,6000.0,1246.6203697916665,0.0,0.0,0.0,583.7604166666666,0.0,1246.6203697916667,1246.6203697916667
2025-01-01,5,01:00,0.4285,3787.01,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3787.01,0.0,6000.0,6000.0,1352.2781541666668,0.0,0.0,0.0,631.1683333333333,0.0,1352.2781541666666,1352.2781541666666
2025-01-01,6,01:10,0.4311,3900.3205,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3900.3205,0.0,6000.0,6000.0,1401.1901396249998,0.0,0.0,0.0,650.0534166666666,0.0,1401.190139625,1401.190139625
2025-01-01,7,01:20,0.4302,3916.8376,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3916.8376,0.0,6000.0,6000.0,1404.1862795999998,0.0,0.0,0.0,652.8062666666666,0.0,1404.1862795999998,1404.1862795999998
2025-01-01,8,01:30,0.4279,3817.28,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3817.28,0.0,6000.0,6000.0,1361.1784266666668,0.0,0.0,0.0,636.2133333333334,0.0,1361.1784266666666,1361.1784266666666
2025-01-01,9,01:40,0.4312,3533.0136,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,0.0,3533.0136,0.0,6000.0,6000.0,1269.5295535999999,0.0,0.0,0.0,588.8356,0.0,1269.5295536,1269.5295536
