date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,41811.4102645282,41811.4102645282,0.0,0.0,20684.20467476982,16413.895988903398,0.0,3162.9256453284465,17593.97276301356,0.0,0.0,17593.97276301356
2025-02-02,87201.71254072744,87201.71254072744,0.0,0.0,20947.357245193085,17107.64090306994,0.0,5005.71824860431,61014.68784311804,0.0,0.0,61014.68784311804
2025-02-03,86719.23467574791,86719.23467574791,0.0,0.0,21727.760797228195,17591.659012683805,0.0,2366.216391203522,61679.40778989456,0.0,0.0,61679.40778989456
2025-02-04,86297.18967082923,86297.18967082923,0.0,0.0,22335.52080633964,18310.884123624754,719.3936133566049,1797.0826514709565,61451.184565521005,0.0,4285.315416513888,65736.49998203489
2025-02-05,86222.26462336932,86222.26462336932,0.0,0.0,23369.58466655186,18739.00632147262,0.0,843.2592949567559,60950.30335088691,0.0,0.0,60950.30335088691
2025-02-06,86081.96299765246,86081.96299765246,0.0,0.0,22520.013162264466,18308.30912308731,28.49742925806345,1627.6991710667003,60932.87289384747,0.0,204.47409584865923,61137.346989696125
2025-02-07,41223.480655735424,41223.480655735424,0.0,0.0,19760.78769982279,15884.916302038808,0.0,5541.929591284774,17341.022613535686,0.0,0.0,17341.022613535686
2025-02-08,38949.302389956734,38949.302389956734,0.0,0.0,19459.485528031484,15705.431659773207,0.0,3618.085805031792,16178.592496634286,0.0,0.0,16178.592496634286
2025-02-09,84211.32341232832,84211.32341232832,0.0,0.0,22117.97970003727,18400.572575431233,49.34051818503849,987.8408392406546,59696.86521326632,0.0,217.3897978153094,59914.25501108163
2025-02-10,84277.6402258896,84277.6402258896,0.0,0.0,20142.01322102971,16039.724452707242,0.0,5848.713874233794,57334.81819143938,0.0,0.0,57334.81819143938
2025-02-11,82805.4655598772,82805.4655598772,0.0,0.0,22565.280300233622,18333.72277179796,40.88344237630217,3394.1943404845006,56511.84406261719,0.0,215.62454989501316,56727.468612512195
2025-02-12,82539.58106824371,82539.58106824371,0.0,0.0,21487.55533453795,17305.806404693834,421.29582295056684,3512.391828016836,56135.751326236365,0.0,2708.7214936606697,58844.47281989703
2025-02-13,81872.97547729076,81872.97547729076,0.0,0.0,20272.099080228858,16447.622459926784,0.0,6719.019840322022,55070.81165332961,0.0,0.0,55070.81165332961
2025-02-14,37575.78241686343,37575.78241686343,0.0,0.0,18595.031046004522,14946.135168368412,0.0,4125.084722560656,15553.061230725621,0.0,0.0,15553.061230725621
2025-02-15,36920.19849643688,36920.19849643688,0.0,0.0,18766.293991700695,15478.874014192683,0.0,4352.6874189288665,15951.348413585969,0.0,0.0,15951.348413585969
2025-02-16,79117.73325529315,79117.73325529315,0.0,0.0,21772.277759025834,17791.15951607036,609.0285985090636,368.2645108467368,54095.680704322076,0.0,3923.280948476103,58018.96165279818
2025-02-17,79595.32883523757,79595.32883523757,0.0,0.0,20177.399769005347,16128.034742060352,28.863998933589755,4390.964640559507,53739.72339957623,0.0,153.48984082225235,53893.21324039848
2025-02-18,77978.45024167898,77978.45024167898,0.0,0.0,22782.372637874185,18439.852976634505,64.59460107645157,1609.1373981824252,51335.38577914017,0.0,427.42247532287996,51762.80825446305
2025-02-19,78619.83738492045,78619.83738492045,0.0,0.0,22935.698214539127,18705.16390649671,45.21889117320827,1555.194584717918,52008.65751030973,0.0,217.2203135634474,52225.877823873176
2025-02-20,77532.22946590315,77532.22946590315,0.0,0.0,22642.653214104663,18254.049609579073,15.052975988982894,2165.5451040332196,51740.618861378985,0.0,70.26324807351742,51810.882109452505
2025-02-21,35694.95342288723,35694.95342288723,0.0,0.0,19343.734770653733,15496.277720881988,0.0,6287.234339782153,14991.541542793813,0.0,0.0,14991.541542793813
2025-02-22,35652.252869626434,35652.252869626434,0.0,0.0,17998.242873710693,14711.739727776523,0.0,4520.986840358933,15266.856776075285,0.0,0.0,15266.856776075285
2025-02-23,76712.1384859809,76712.1384859809,0.0,0.0,21459.23577790522,17562.330327506857,35.04090337886178,1318.420255628078,51206.32008752274,0.0,133.96137361738855,51340.28146114013
2025-02-24,75525.24794512958,75525.24794512958,0.0,0.0,21614.17484739394,17352.134511243254,292.11678026707716,3352.290772579312,49504.605989325464,0.0,1883.04157358419,51387.64756290965
2025-02-25,74636.68642458686,74636.68642458686,0.0,0.0,20381.51443582457,16555.804801498158,0.0,4989.653556927128,48251.26064387157,0.0,0.0,48251.26064387157
2025-02-26,74423.34652305907,74423.34652305907,0.0,0.0,21001.63859100877,16953.4461524574,436.49018338299453,1996.7962345573626,48683.583975430905,0.0,2805.143161609483,51488.72713704038
2025-02-27,73324.7404932623,73324.7404932623,0.0,0.0,23280.588651475817,18828.7243956819,567.8176712543732,2484.109708722767,46454.61072683224,0.0,3124.0048397615424,49578.615566593784
2025-02-28,34601.600794594706,34601.600794594706,0.0,0.0,18728.353287218273,14983.848143600688,0.0,7564.50210097712,14002.358640576493,0.0,0.0,14002.358640576493
2025-03-01,33599.93468022258,33599.93468022258,0.0,0.0,16540.13178980675,13737.66259349061,0.0,7138.6995505731065,13728.702388453403,0.0,0.0,13728.702388453403
2025-03-02,72106.3265532729,72106.3265532729,0.0,0.0,18679.92266961201,15290.88731925761,4405.504370907099,764.4885071589417,47210.1740849928,0.0,27379.861413597115,74590.03549858992
2025-03-03,71934.52218297568,71934.52218297568,0.0,0.0,21192.270858383934,17052.011866708308,4775.027960824045,552.1445187907643,46104.140189259095,0.0,28945.86712041309,75050.00730967219
2025-03-04,72472.91625687333,72472.91625687333,0.0,0.0,21788.978278395218,17698.418102746873,1021.2778701644115,204.17601805606466,46879.28163842666,0.0,6377.657182013478,53256.93882044014
2025-03-05,72918.19006288514,72918.19006288514,0.0,0.0,22332.464570520962,17975.266455032004,79.73927164903876,2510.25920237856,46192.90385679899,0.0,523.0647127352042,46715.9685695342
2025-03-06,71150.4124789208,71150.4124789208,0.0,0.0,21304.301200309514,17470.306147452535,807.0881083765524,2182.8514011070506,45057.90201890817,0.0,5346.103347978125,50404.0053668863
