variant,date,slot,time_interval,issue_datetime,issue_hour,target_end,price_yuan_per_kwh,price_forecast_yuan_per_kwh,price_radius_yuan_per_kwh,price_optimization_yuan_per_kwh,load_actual_kw,pv_actual_kw,load_forecast_kw,pv_forecast_kw,risk_requirement_kw,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
4-2,2025-01-01,0,00:00-00:10,2025-01-01 00:00:00,0,2025-01-01 00:10:00,0.4527000000,0.6000000000,0.0000000000,0.6000000000,3529.7296000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,588.2882666667,0.0000000000,0.0000000000,6000.0000000000,5346.3463703704,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4-2,2025-01-01,1,00:10-00:20,2025-01-01 00:00:00,0,2025-01-01 00:20:00,0.4733000000,0.6000000000,0.0000000000,0.6000000000,3609.5287000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,601.5881166667,0.0000000000,0.0000000000,5346.3463703704,4677.9151296296,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4-2,2025-01-01,2,00:20-00:30,2025-01-01 00:00:00,0,2025-01-01 00:30:00,0.4843000000,0.6000000000,0.0000000000,0.6000000000,3726.5600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,621.0933333333,0.0000000000,0.0000000000,4677.9151296296,3987.8114259259,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4-2,2025-01-01,3,00:30-00:40,2025-01-01 00:00:00,0,2025-01-01 00:40:00,0.4541000000,0.6000000000,0.0000000000,0.6000000000,3510.6311000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,585.1051833333,0.0000000000,0.0000000000,3987.8114259259,3337.6945555556,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4-2,2025-01-01,4,00:40-00:50,2025-01-01 00:00:00,0,2025-01-01 00:50:00,0.4266000000,0.6000000000,0.0000000000,0.6000000000,3502.5625000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,583.7604166667,0.0000000000,0.0000000000,3337.6945555556,2689.0718703704,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4-2,2025-01-01,5,00:50-01:00,2025-01-01 00:00:00,0,2025-01-01 01:00:00,0.4311000000,0.6000000000,0.0000000000,0.6000000000,3787.0100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,631.1683333333,0.0000000000,0.0000000000,2689.0718703704,1987.7737222222,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4-2,2025-01-01,6,01:00-01:10,2025-01-01 00:00:00,0,2025-01-01 01:10:00,0.4544000000,0.6000000000,0.0000000000,0.6000000000,3900.3205000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,650.0534166667,0.0000000000,0.0000000000,1987.7737222222,1265.4921481481,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4-2,2025-01-01,7,01:10-01:20,2025-01-01 00:00:00,0,2025-01-01 01:20:00,0.4483000000,0.6000000000,0.0000000000,0.6000000000,3916.8376000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,58.9429333333,593.8633333333,0.0000000000,1265.4921481481,1200.0000000000,0.0000000000,0.0000000000,1331.1446616667,1331.1446616667
4-2,2025-01-01,8,01:20-01:30,2025-01-01 00:00:00,0,2025-01-01 01:30:00,0.4251000000,0.6000000000,0.0000000000,0.6000000000,3817.2800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,636.2133333333,0.0000000000,1200.0000000000,1200.0000000000,0.0000000000,0.0000000000,1352.2714400000,1352.2714400000
4-2,2025-01-01,9,01:30-01:40,2025-01-01 00:00:00,0,2025-01-01 01:40:00,0.4440000000,0.6000000000,0.0000000000,0.6000000000,3533.0136000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,588.8356000000,0.0000000000,1200.0000000000,1200.0000000000,0.0000000000,0.0000000000,1307.2150320000,1307.2150320000
