date,plan_kwh,adjusted_purchase_kwh,adjustment_up_kwh,adjustment_down_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,50847.451460969976,50847.451460969976,0.0,0.0,18528.175144496847,14956.826287191841,0.0,12897.92667033164,22546.74254158931,0.0,0.0,22546.74254158931
2025-02-02,96082.45704241372,96099.44009417588,16.983051762152968,0.0,19408.690466182754,16015.750360551214,0.0,14350.222038544343,68771.24231233433,26.758223576377933,0.0,68798.0005359107
2025-02-03,97014.69589306488,97014.69589306488,0.0,0.0,19614.430426324478,16131.365173975693,0.0,13314.7141407161,70785.24693978102,0.0,0.0,70785.24693978102
2025-02-04,99249.97648118998,99249.97648118998,0.0,0.0,20346.803353860698,16513.669260525174,0.0,14221.97843785446,73098.3564166797,0.0,0.0,73098.3564166797
2025-02-05,93482.3249165199,93727.48587012233,245.16095360243156,0.0,21337.93761011258,17264.060869917535,0.0,8905.182146593956,67650.72773251664,346.8652623047044,0.0,67997.59299482133
2025-02-06,99006.97820608398,99006.97820608398,0.0,0.0,20647.366520510164,16937.666617230905,0.0,15026.221086138063,72336.1399725855,0.0,0.0,72336.1399725855
2025-02-07,50348.33609084469,50348.33609084469,0.0,0.0,18478.59415266364,14674.803815347223,0.0,14738.866086861606,21621.210934543662,0.0,0.0,21621.210934543662
2025-02-08,40770.57174733836,41356.14482929755,585.5730819591834,0.0,18513.90359730823,14942.27288900187,0.0,6207.351404324524,17224.464452479973,453.36551614125773,0.0,17677.82996862123
2025-02-09,94520.67811239805,94522.04854891088,1.3704365128464815,0.0,20120.692486263608,16685.864033913625,0.0,11531.804129894244,68126.62468647551,2.2762265260123633,0.0,68128.90091300153
2025-02-10,88685.82290547281,88685.82290547281,0.0,0.0,18771.59519038548,15282.754435542536,0.0,10870.344567296537,61262.88478564907,0.0,0.0,61262.88478564907
2025-02-11,89442.86275554345,89442.9218072101,0.059051666667301106,0.0,21833.083645293103,17850.021835603296,0.0,10239.262864186976,62296.3968481706,0.09469820525101741,0.0,62296.49154637586
2025-02-12,89671.72410084489,89671.72410084489,0.0,0.0,20276.908032463238,16217.864775390626,0.0,10345.944710438955,62258.446918704896,0.0,0.0,62258.446918704896
2025-02-13,84125.2664042868,84210.60074478138,85.33434049457304,0.0,19341.424815424758,15745.129513962676,0.0,9284.826426652626,56912.79581713573,131.67583863935917,0.0,57044.47165577509
